# started: save_path=sota/ verify_num_samples=10000
[VERIFY] 2026-01-17 18:19:01 | Epoch 0068 | valid 583/10000 (5.83%) | invalid 2936/10000 (29.36%) | nan 6481/10000 (64.81%) | viol_counts hip=6798 thigh=114 calf=5281 | viol(rad) mean=0.251480 max=1.181931
[VERIFY] 2026-01-17 18:20:07 | Epoch 0069 | valid 551/10000 (5.51%) | invalid 3066/10000 (30.66%) | nan 6383/10000 (63.83%) | viol_counts hip=7111 thigh=119 calf=5472 | viol(rad) mean=0.251348 max=1.217968
[VERIFY] 2026-01-17 18:21:14 | Epoch 0070 | valid 598/10000 (5.98%) | invalid 2996/10000 (29.96%) | nan 6406/10000 (64.06%) | viol_counts hip=7041 thigh=109 calf=5337 | viol(rad) mean=0.251224 max=1.336216
[VERIFY] 2026-01-17 18:22:20 | Epoch 0071 | valid 573/10000 (5.73%) | invalid 2961/10000 (29.61%) | nan 6466/10000 (64.66%) | viol_counts hip=6951 thigh=111 calf=5314 | viol(rad) mean=0.251586 max=1.155350
[VERIFY] 2026-01-17 18:23:27 | Epoch 0072 | valid 530/10000 (5.30%) | invalid 3014/10000 (30.14%) | nan 6456/10000 (64.56%) | viol_counts hip=7015 thigh=109 calf=5400 | viol(rad) mean=0.252961 max=1.204455
[VERIFY] 2026-01-17 18:24:33 | Epoch 0073 | valid 540/10000 (5.40%) | invalid 2961/10000 (29.61%) | nan 6499/10000 (64.99%) | viol_counts hip=7026 thigh=122 calf=5302 | viol(rad) mean=0.250520 max=1.296502
[VERIFY] 2026-01-17 18:25:40 | Epoch 0074 | valid 584/10000 (5.84%) | invalid 2992/10000 (29.92%) | nan 6424/10000 (64.24%) | viol_counts hip=6882 thigh=108 calf=5446 | viol(rad) mean=0.249423 max=1.269597
[VERIFY] 2026-01-17 18:26:46 | Epoch 0075 | valid 569/10000 (5.69%) | invalid 2949/10000 (29.49%) | nan 6482/10000 (64.82%) | viol_counts hip=6924 thigh=105 calf=5418 | viol(rad) mean=0.247874 max=1.328214
[VERIFY] 2026-01-17 18:27:53 | Epoch 0076 | valid 568/10000 (5.68%) | invalid 2992/10000 (29.92%) | nan 6440/10000 (64.40%) | viol_counts hip=6953 thigh=102 calf=5323 | viol(rad) mean=0.249061 max=1.120689
[VERIFY] 2026-01-17 18:28:59 | Epoch 0077 | valid 560/10000 (5.60%) | invalid 2934/10000 (29.34%) | nan 6506/10000 (65.06%) | viol_counts hip=7004 thigh=106 calf=5321 | viol(rad) mean=0.251186 max=1.189441
[VERIFY] 2026-01-17 18:30:05 | Epoch 0078 | valid 546/10000 (5.46%) | invalid 2955/10000 (29.55%) | nan 6499/10000 (64.99%) | viol_counts hip=6918 thigh=133 calf=5305 | viol(rad) mean=0.248120 max=1.343548
[VERIFY] 2026-01-17 18:31:12 | Epoch 0079 | valid 560/10000 (5.60%) | invalid 2954/10000 (29.54%) | nan 6486/10000 (64.86%) | viol_counts hip=6995 thigh=120 calf=5357 | viol(rad) mean=0.249198 max=1.221786
[VERIFY] 2026-01-17 18:32:18 | Epoch 0080 | valid 564/10000 (5.64%) | invalid 2998/10000 (29.98%) | nan 6438/10000 (64.38%) | viol_counts hip=6931 thigh=91 calf=5366 | viol(rad) mean=0.248244 max=1.298869
[VERIFY] 2026-01-17 18:33:24 | Epoch 0081 | valid 581/10000 (5.81%) | invalid 2963/10000 (29.63%) | nan 6456/10000 (64.56%) | viol_counts hip=6866 thigh=103 calf=5283 | viol(rad) mean=0.249544 max=1.271411
[VERIFY] 2026-01-17 18:34:31 | Epoch 0082 | valid 538/10000 (5.38%) | invalid 2977/10000 (29.77%) | nan 6485/10000 (64.85%) | viol_counts hip=6856 thigh=128 calf=5333 | viol(rad) mean=0.251893 max=1.216737
[VERIFY] 2026-01-17 18:35:37 | Epoch 0083 | valid 569/10000 (5.69%) | invalid 2998/10000 (29.98%) | nan 6433/10000 (64.33%) | viol_counts hip=7029 thigh=107 calf=5392 | viol(rad) mean=0.251524 max=1.215578
[VERIFY] 2026-01-17 18:36:44 | Epoch 0084 | valid 567/10000 (5.67%) | invalid 3016/10000 (30.16%) | nan 6417/10000 (64.17%) | viol_counts hip=6942 thigh=117 calf=5317 | viol(rad) mean=0.251048 max=1.249315
[VERIFY] 2026-01-17 18:37:50 | Epoch 0085 | valid 588/10000 (5.88%) | invalid 2965/10000 (29.65%) | nan 6447/10000 (64.47%) | viol_counts hip=7031 thigh=115 calf=5332 | viol(rad) mean=0.249220 max=1.370088
[VERIFY] 2026-01-17 18:38:57 | Epoch 0086 | valid 557/10000 (5.57%) | invalid 2997/10000 (29.97%) | nan 6446/10000 (64.46%) | viol_counts hip=6870 thigh=133 calf=5415 | viol(rad) mean=0.253145 max=1.224607
[VERIFY] 2026-01-17 18:40:03 | Epoch 0087 | valid 538/10000 (5.38%) | invalid 2927/10000 (29.27%) | nan 6535/10000 (65.35%) | viol_counts hip=6909 thigh=100 calf=5325 | viol(rad) mean=0.248407 max=1.297322
