# started: save_path= verify_num_samples=10000
[VERIFY] 2026-01-17 19:41:58 | Epoch 0037 | valid 9627/10000 (96.27%) | invalid 146/10000 (1.46%) | nan 227/10000 (2.27%) | viol_counts hip=30 thigh=1 calf=119 | viol(rad) mean=0.030517 max=0.358196
[VERIFY] 2026-01-17 19:46:30 | Epoch 0038 | valid 9370/10000 (93.70%) | invalid 285/10000 (2.85%) | nan 345/10000 (3.45%) | viol_counts hip=18 thigh=4 calf=274 | viol(rad) mean=0.037139 max=0.355091
[VERIFY] 2026-01-17 19:51:02 | Epoch 0039 | valid 9240/10000 (92.40%) | invalid 237/10000 (2.37%) | nan 523/10000 (5.23%) | viol_counts hip=37 thigh=0 calf=214 | viol(rad) mean=0.058143 max=1.005719
[VERIFY] 2026-01-17 19:55:35 | Epoch 0040 | valid 9428/10000 (94.28%) | invalid 240/10000 (2.40%) | nan 332/10000 (3.32%) | viol_counts hip=35 thigh=6 calf=222 | viol(rad) mean=0.093935 max=2.925043
[VERIFY] 2026-01-17 20:00:07 | Epoch 0041 | valid 9558/10000 (95.58%) | invalid 156/10000 (1.56%) | nan 286/10000 (2.86%) | viol_counts hip=27 thigh=0 calf=132 | viol(rad) mean=0.032794 max=0.811482
[VERIFY] 2026-01-17 20:04:40 | Epoch 0042 | valid 9186/10000 (91.86%) | invalid 321/10000 (3.21%) | nan 493/10000 (4.93%) | viol_counts hip=52 thigh=1 calf=285 | viol(rad) mean=0.055844 max=0.776342
[VERIFY] 2026-01-17 20:09:12 | Epoch 0043 | valid 9527/10000 (95.27%) | invalid 155/10000 (1.55%) | nan 318/10000 (3.18%) | viol_counts hip=29 thigh=0 calf=133 | viol(rad) mean=0.023864 max=0.283607
[VERIFY] 2026-01-17 20:13:44 | Epoch 0044 | valid 9349/10000 (93.49%) | invalid 253/10000 (2.53%) | nan 398/10000 (3.98%) | viol_counts hip=22 thigh=2 calf=243 | viol(rad) mean=0.046210 max=0.958655
[VERIFY] 2026-01-17 20:18:16 | Epoch 0045 | valid 9329/10000 (93.29%) | invalid 226/10000 (2.26%) | nan 445/10000 (4.45%) | viol_counts hip=50 thigh=11 calf=178 | viol(rad) mean=0.029479 max=0.410838
[VERIFY] 2026-01-17 20:22:48 | Epoch 0046 | valid 9627/10000 (96.27%) | invalid 113/10000 (1.13%) | nan 260/10000 (2.60%) | viol_counts hip=16 thigh=1 calf=101 | viol(rad) mean=0.026384 max=0.302650
[VERIFY] 2026-01-17 20:27:20 | Epoch 0047 | valid 9534/10000 (95.34%) | invalid 198/10000 (1.98%) | nan 268/10000 (2.68%) | viol_counts hip=46 thigh=15 calf=154 | viol(rad) mean=0.066843 max=1.132253
[VERIFY] 2026-01-17 20:31:52 | Epoch 0048 | valid 9544/10000 (95.44%) | invalid 254/10000 (2.54%) | nan 202/10000 (2.02%) | viol_counts hip=46 thigh=7 calf=219 | viol(rad) mean=0.038030 max=0.795835
[VERIFY] 2026-01-17 20:36:24 | Epoch 0049 | valid 9494/10000 (94.94%) | invalid 179/10000 (1.79%) | nan 327/10000 (3.27%) | viol_counts hip=40 thigh=0 calf=144 | viol(rad) mean=0.051617 max=0.940128
[VERIFY] 2026-01-17 20:40:57 | Epoch 0050 | valid 9464/10000 (94.64%) | invalid 171/10000 (1.71%) | nan 365/10000 (3.65%) | viol_counts hip=29 thigh=2 calf=147 | viol(rad) mean=0.038301 max=0.583488
